,Principal,terms,age,Gender,education
232,1000,30,29,male,High School or Below
36,1000,15,30,male,college
156,1000,30,27,male,High School or Below
2,1000,15,27,male,college
242,800,15,42,male,High School or Below
289,1000,15,27,female,college
48,1000,30,26,male,Bechalor
141,1000,30,28,male,college
223,800,15,51,male,college
183,1000,30,29,female,college
309,1000,30,34,male,college
160,800,15,42,male,college
219,800,15,28,male,college
99,1000,30,34,male,college
235,1000,30,35,male,High School or Below
117,1000,15,47,male,High School or Below
1,1000,30,33,female,Bechalor
113,800,15,24,male,college
319,800,15,25,male,High School or Below
174,1000,30,26,male,college
253,1000,30,29,male,college
308,1000,30,28,male,High School or Below
184,1000,15,50,male,High School or Below
165,800,15,21,male,college
274,1000,30,28,male,High School or Below
192,1000,30,26,male,High School or Below
0,1000,30,45,male,High School or Below
54,900,15,28,male,college
28,1000,30,27,male,college
206,1000,15,29,female,High School or Below
49,800,15,44,female,High School or Below
20,1000,15,26,male,college
293,1000,15,50,male,Master or Above
176,300,7,23,male,High School or Below
33,1000,15,32,female,college
171,800,15,27,male,college
7,800,15,26,male,college
318,1000,30,18,male,college
345,1000,30,26,male,college
106,800,15,43,male,High School or Below
97,1000,30,35,male,Bechalor
110,800,15,43,male,High School or Below
69,800,15,33,male,college
129,1000,15,30,male,college
316,800,15,28,male,Bechalor
258,1000,30,40,male,High School or Below
322,800,15,26,female,High School or Below
150,1000,30,30,male,college
26,800,15,33,male,High School or Below
93,1000,30,28,male,college
148,800,15,25,male,college
119,1000,30,28,male,High School or Below
138,1000,15,27,female,college
169,1000,15,30,male,college
202,1000,30,30,male,High School or Below
147,800,15,39,male,High School or Below
277,1000,15,34,male,college
256,800,15,27,male,college
131,1000,30,36,female,High School or Below
249,1000,30,34,male,Bechalor
152,1000,15,31,female,High School or Below
