,Principal,terms,age,Gender,Bechalor,High School or Below,college
90,1000,30,27,1,0,0,1
51,1000,30,34,0,1,0,0
85,1000,30,31,0,0,1,0
124,1000,30,26,1,0,0,1
161,1000,30,32,0,0,0,1
88,1000,7,29,0,0,0,1
204,1000,15,29,0,0,0,1
248,1000,30,29,0,0,0,1
228,800,15,31,1,1,0,0
39,1000,30,22,0,0,1,0
86,1000,30,31,0,0,1,0
181,1000,30,27,0,0,1,0
221,1000,7,25,0,0,0,1
116,1000,15,22,0,0,0,1
145,800,15,35,0,0,1,0
158,1000,15,34,0,0,1,0
284,1000,30,30,1,0,1,0
255,1000,30,36,0,1,0,0
342,1000,30,25,0,0,1,0
236,1000,30,30,0,1,0,0
230,1000,30,42,0,0,1,0
200,1000,30,36,0,0,1,0
170,1000,30,26,1,0,1,0
125,1000,15,26,0,1,0,0
286,1000,30,34,0,0,1,0
245,1000,30,30,0,0,1,0
71,1000,30,27,1,0,0,1
268,1000,30,24,0,0,0,1
292,1000,30,25,0,0,0,1
246,1000,15,24,0,1,0,0
275,1000,30,37,0,0,0,1
81,800,15,38,0,0,0,1
324,1000,30,33,0,0,0,1
95,1000,30,40,0,0,0,1
271,1000,30,22,0,1,0,0
133,1000,15,28,1,0,0,1
244,1000,30,30,0,0,0,1
264,800,15,28,0,0,0,1
333,800,15,46,0,0,1,0
137,1000,30,28,0,0,1,0
100,1000,30,22,0,0,1,0
19,1000,30,25,0,0,1,0
269,1000,30,30,0,0,1,0
314,1000,30,27,1,0,1,0
323,1000,15,30,0,0,0,1
239,1000,30,31,0,0,0,1
329,1000,15,30,0,1,0,0
8,300,7,29,0,0,0,1
107,1000,15,34,0,1,0,0
53,1000,30,45,0,0,0,1
27,1000,30,37,0,0,0,1
144,1000,30,29,0,0,0,1
60,1000,30,33,1,1,0,0
92,1000,30,33,0,0,0,1
32,1000,30,21,0,1,0,0
320,1000,15,40,0,0,1,0
225,800,30,23,1,0,0,1
185,800,15,31,1,0,1,0
135,1000,15,24,0,0,1,0
299,1000,30,26,0,0,1,0
220,1000,15,37,1,0,0,1
22,800,15,39,0,1,0,0
209,1000,7,31,0,0,0,1
62,1000,15,25,0,0,0,1
335,1000,15,38,0,1,0,0
215,800,15,38,0,0,0,1
288,1000,30,23,0,0,1,0
257,1000,30,29,0,0,1,0
52,1000,30,34,0,0,1,0
290,1000,15,39,0,0,1,0
173,1000,7,26,1,1,0,0
35,1000,7,31,0,1,0,0
178,1000,15,27,0,0,1,0
167,1000,15,40,0,0,0,1
226,1000,15,30,0,0,1,0
120,800,15,35,0,0,0,1
44,1000,30,34,0,0,1,0
76,1000,30,33,0,0,1,0
208,800,15,30,1,0,1,0
212,800,15,34,0,0,1,0
267,1000,30,27,0,0,1,0
216,500,7,22,0,0,1,0
303,1000,30,37,0,0,1,0
9,1000,15,39,0,0,1,0
283,1000,30,21,0,0,1,0
296,1000,30,27,0,0,1,0
104,1000,30,26,0,0,0,1
302,1000,30,41,0,0,1,0
341,800,15,32,0,0,1,0
91,1000,30,27,0,0,0,1
182,1000,30,35,0,0,1,0
331,1000,30,29,0,0,1,0
172,1000,30,20,0,0,0,1
232,1000,30,29,0,0,1,0
36,1000,15,30,0,0,0,1
156,1000,30,27,0,0,1,0
2,1000,15,27,0,0,0,1
242,800,15,42,0,0,1,0
289,1000,15,27,1,0,0,1
48,1000,30,26,0,1,0,0
141,1000,30,28,0,0,0,1
223,800,15,51,0,0,0,1
183,1000,30,29,1,0,0,1
309,1000,30,34,0,0,0,1
160,800,15,42,0,0,0,1
219,800,15,28,0,0,0,1
99,1000,30,34,0,0,0,1
235,1000,30,35,0,0,1,0
117,1000,15,47,0,0,1,0
1,1000,30,33,1,1,0,0
113,800,15,24,0,0,0,1
319,800,15,25,0,0,1,0
174,1000,30,26,0,0,0,1
253,1000,30,29,0,0,0,1
308,1000,30,28,0,0,1,0
184,1000,15,50,0,0,1,0
165,800,15,21,0,0,0,1
274,1000,30,28,0,0,1,0
192,1000,30,26,0,0,1,0
0,1000,30,45,0,0,1,0
54,900,15,28,0,0,0,1
28,1000,30,27,0,0,0,1
206,1000,15,29,1,0,1,0
49,800,15,44,1,0,1,0
20,1000,15,26,0,0,0,1
293,1000,15,50,0,0,0,0
176,300,7,23,0,0,1,0
33,1000,15,32,1,0,0,1
171,800,15,27,0,0,0,1
7,800,15,26,0,0,0,1
318,1000,30,18,0,0,0,1
345,1000,30,26,0,0,0,1
106,800,15,43,0,0,1,0
97,1000,30,35,0,1,0,0
110,800,15,43,0,0,1,0
69,800,15,33,0,0,0,1
129,1000,15,30,0,0,0,1
316,800,15,28,0,1,0,0
258,1000,30,40,0,0,1,0
322,800,15,26,1,0,1,0
150,1000,30,30,0,0,0,1
26,800,15,33,0,0,1,0
93,1000,30,28,0,0,0,1
148,800,15,25,0,0,0,1
119,1000,30,28,0,0,1,0
138,1000,15,27,1,0,0,1
169,1000,15,30,0,0,0,1
202,1000,30,30,0,0,1,0
147,800,15,39,0,0,1,0
277,1000,15,34,0,0,0,1
256,800,15,27,0,0,0,1
131,1000,30,36,1,0,1,0
249,1000,30,34,0,1,0,0
152,1000,15,31,1,0,1,0
